Method,Aggregation,Interaction,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,R2_Mean,R2_Std,High_Tg_MAE_Mean,High_Tg_MAE_Std,Low_Tg_MAE_Mean,Low_Tg_MAE_Std,Bias_Delta_Mean,Bias_Delta_Std,Normalized_Bias_Mean,Normalized_Bias_Std,High_Tg_Ratio_Mean,High_Tg_Ratio_Std
mean_abs_diff,Mean,abs_diff,24.467648,0.485123,35.421073,0.408521,0.904228,0.002221,24.125996,0.968957,24.581531,0.689477,-0.455535,1.377745,0.281195,0.027101,0.250000,0.000000
add_diff,Add,diff,24.658888,0.597662,36.193150,0.894407,0.899964,0.004932,26.030995,1.499223,24.201519,0.509400,1.829476,1.459375,0.330996,0.034641,0.250000,0.000000
add_cat,Add,cat,24.783015,0.404184,36.323785,0.695285,0.899263,0.003878,26.090935,1.076909,24.347042,0.467338,1.743893,1.244448,0.330690,0.027099,0.250000,0.000000
max_add+diff,Max,Add+Diff,24.800777,0.712176,36.305817,0.610772,0.899370,0.003382,25.406911,0.991012,24.598732,0.714880,0.808179,0.805382,0.311438,0.019710,0.250000,0.000000
add_add+diff,Add,Add+Diff,24.840007,0.618220,36.594881,0.774007,0.897746,0.004359,25.544012,1.318357,24.605338,0.545252,0.938674,1.211708,0.314619,0.029390,0.250000,0.000000
mean_diff,Mean,diff,24.949062,0.418488,36.300166,0.462446,0.899412,0.002571,24.644274,1.006606,25.050658,0.681414,-0.406385,1.508068,0.287937,0.029382,0.250000,0.000000
mean_add+diff,Mean,Add+Diff,24.975533,0.243805,36.502542,0.430877,0.898290,0.002404,25.193986,1.298149,24.902714,0.513375,0.291272,1.727461,0.302763,0.035806,0.250000,0.000000
mean_cat,Mean,cat,25.573425,0.527821,37.022953,0.991637,0.895315,0.005676,25.497259,0.808723,25.598813,0.566823,-0.101554,0.819361,0.301695,0.018140,0.250000,0.000000
add_abs_diff,Add,abs_diff,25.713720,0.334065,37.581388,0.463633,0.892188,0.002659,26.308959,1.591682,25.515308,0.555976,0.793651,2.004787,0.321982,0.042517,0.250000,0.000000
max_diff,Max,diff,27.679723,0.639730,49.913940,0.690409,0.809812,0.005275,31.095592,1.484714,26.541101,0.924209,4.554491,2.042825,0.423563,0.041004,0.250000,0.000000
max_abs_diff,Max,abs_diff,27.914259,0.436878,49.992589,0.276181,0.809240,0.002108,31.772116,1.409853,26.628307,0.451759,5.143809,1.564820,0.438608,0.034993,0.250000,0.000000
max_cat,Max,cat,29.581494,1.148813,51.350824,1.022335,0.798668,0.008000,33.112224,1.945936,28.404583,1.244115,4.707641,2.049734,0.449342,0.045145,0.250000,0.000000
